manufacturer_name,product_name,price,price_date
"Toy Cremin","deserunt nemo quas",109.60,2026-03-30
"Toy Cremin","deserunt nemo quas",983.71,2026-03-26
Schmeler,"voluptatibus veniam itaque",96.59,2026-03-31
Schmeler,"voluptatibus veniam itaque",921.50,2026-04-01
Nienow-Hills,"dolore et aut",188.80,2026-03-29
Nienow-Hills,"dolore et aut",850.56,2026-04-01
Lubowitz-Kshlerin,"autem in eos",23.39,2026-03-31
Lubowitz-Kshlerin,"autem in eos",868.44,2026-03-30
Nienow-Hills,"adipisci ducimus officiis",68.10,2026-04-01
Nienow-Hills,"adipisci ducimus officiis",973.70,2026-03-30
Leffler,"velit reiciendis aliquid",17.25,2026-03-29
Leffler,"velit reiciendis aliquid",908.92,2026-03-30
Leffler,"soluta voluptatibus ipsa",11.52,2026-03-28
Leffler,"soluta voluptatibus ipsa",948.94,2026-03-29
Schmeler,"deserunt quo voluptate",56.81,2026-03-27
Schmeler,"deserunt quo voluptate",990.34,2026-03-27
Water,"voluptatem eveniet laboriosam",47.50,2026-03-28
Water,"voluptatem eveniet laboriosam",903.95,2026-03-27
